[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=True, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary True
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 2 | train_loss 6.3442 | train_acc 0.2500 | lr 0.000300 | running_time 0:00:01 | ETA 11:06:05
[INFO] er_baseline.py:202 > Train | Sample # 4 | train_loss 1.0332 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:01 | ETA 6:28:57
[INFO] er_baseline.py:202 > Train | Sample # 6 | train_loss 9.9593 | train_acc 0.2500 | lr 0.000300 | running_time 0:00:02 | ETA 4:51:09
[INFO] er_baseline.py:202 > Train | Sample # 8 | train_loss 2.5732 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:02 | ETA 4:01:22
[INFO] er_baseline.py:202 > Train | Sample # 10 | train_loss 1.9136 | train_acc 0.5500 | lr 0.000300 | running_time 0:00:02 | ETA 3:33:00
[INFO] er_baseline.py:202 > Train | Sample # 12 | train_loss 2.8022 | train_acc 0.5833 | lr 0.000300 | running_time 0:00:02 | ETA 3:18:05
[INFO] er_baseline.py:202 > Train | Sample # 14 | train_loss 0.9408 | train_acc 0.7857 | lr 0.000300 | running_time 0:00:03 | ETA 3:08:03
[INFO] er_baseline.py:202 > Train | Sample # 16 | train_loss 1.1563 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:03 | ETA 3:01:18
[INFO] er_baseline.py:202 > Train | Sample # 18 | train_loss 1.0061 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:03 | ETA 2:56:45
[INFO] er_baseline.py:202 > Train | Sample # 20 | train_loss 2.3838 | train_acc 0.4375 | lr 0.000300 | running_time 0:00:04 | ETA 2:53:18
[INFO] er_baseline.py:202 > Train | Sample # 22 | train_loss 1.9553 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:04 | ETA 2:49:56
