[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary False
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 2 | train_loss 0.8168 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:01 | ETA 7:00:40
[INFO] er_baseline.py:202 > Train | Sample # 4 | train_loss 0.6640 | train_acc 0.3750 | lr 0.000300 | running_time 0:00:01 | ETA 3:41:35
[INFO] er_baseline.py:202 > Train | Sample # 6 | train_loss 0.6337 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:01 | ETA 2:35:05
[INFO] er_baseline.py:202 > Train | Sample # 8 | train_loss 0.7470 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:01 | ETA 2:06:00
[INFO] er_baseline.py:202 > Train | Sample # 10 | train_loss 0.5554 | train_acc 0.7000 | lr 0.000300 | running_time 0:00:01 | ETA 1:48:24
[INFO] er_baseline.py:202 > Train | Sample # 12 | train_loss 0.6478 | train_acc 0.6667 | lr 0.000300 | running_time 0:00:01 | ETA 1:36:46
[INFO] er_baseline.py:202 > Train | Sample # 14 | train_loss 0.5481 | train_acc 0.7143 | lr 0.000300 | running_time 0:00:01 | ETA 1:28:21
[INFO] er_baseline.py:202 > Train | Sample # 16 | train_loss 0.7081 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:01 | ETA 1:22:45
[INFO] er_baseline.py:202 > Train | Sample # 18 | train_loss 0.7074 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:01 | ETA 1:18:54
[INFO] er_baseline.py:202 > Train | Sample # 20 | train_loss 0.6074 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:01 | ETA 1:15:26
[INFO] er_baseline.py:202 > Train | Sample # 22 | train_loss 0.6322 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:01 | ETA 1:14:01
[INFO] er_baseline.py:202 > Train | Sample # 24 | train_loss 0.6511 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:02 | ETA 1:11:48
[INFO] er_baseline.py:202 > Train | Sample # 26 | train_loss 1.1812 | train_acc 0.2188 | lr 0.000285 | running_time 0:00:02 | ETA 1:10:11
[INFO] er_baseline.py:202 > Train | Sample # 28 | train_loss 1.0981 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:02 | ETA 1:09:01
[INFO] er_baseline.py:202 > Train | Sample # 30 | train_loss 0.9501 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:02 | ETA 1:08:01
[INFO] er_baseline.py:202 > Train | Sample # 32 | train_loss 0.8260 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:02 | ETA 1:06:29
[INFO] er_baseline.py:202 > Train | Sample # 34 | train_loss 0.8091 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:02 | ETA 1:04:57
[INFO] er_baseline.py:202 > Train | Sample # 36 | train_loss 0.8586 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:02 | ETA 1:04:40
[INFO] er_baseline.py:202 > Train | Sample # 38 | train_loss 0.8521 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:02 | ETA 1:03:37
[INFO] er_baseline.py:202 > Train | Sample # 40 | train_loss 0.7921 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:03 | ETA 1:03:06
[INFO] er_baseline.py:202 > Train | Sample # 42 | train_loss 0.8738 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:03 | ETA 1:02:33
[INFO] er_baseline.py:202 > Train | Sample # 44 | train_loss 0.7242 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:03 | ETA 1:01:56
[INFO] er_baseline.py:202 > Train | Sample # 46 | train_loss 0.6695 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:03 | ETA 1:01:56
[INFO] er_baseline.py:202 > Train | Sample # 48 | train_loss 0.6562 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:03 | ETA 1:02:48
[INFO] er_baseline.py:202 > Train | Sample # 50 | train_loss 0.7365 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:03 | ETA 1:03:10
[INFO] er_baseline.py:202 > Train | Sample # 52 | train_loss 0.9307 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:03 | ETA 1:01:51
