[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=2, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
[INFO] main.py:110 > [2] Incrementally training 5 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 2 | train_loss 0.0000 | train_acc 1.0000 | lr 0.000300 | running_time 0:00:00 | ETA 4:27:22
[INFO] er_baseline.py:202 > Train | Sample # 4 | train_loss 0.6358 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:00 | ETA 2:18:47
[INFO] er_baseline.py:202 > Train | Sample # 6 | train_loss 0.7794 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:00 | ETA 1:36:06
[INFO] er_baseline.py:202 > Train | Sample # 8 | train_loss 0.7229 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:00 | ETA 1:19:03
[INFO] er_baseline.py:202 > Train | Sample # 10 | train_loss 0.6845 | train_acc 0.6000 | lr 0.000300 | running_time 0:00:00 | ETA 1:05:28
[INFO] er_baseline.py:202 > Train | Sample # 12 | train_loss 0.6978 | train_acc 0.5833 | lr 0.000300 | running_time 0:00:00 | ETA 0:56:33
[INFO] er_baseline.py:202 > Train | Sample # 14 | train_loss 0.7213 | train_acc 0.5714 | lr 0.000300 | running_time 0:00:00 | ETA 0:50:15
[INFO] er_baseline.py:202 > Train | Sample # 16 | train_loss 0.7215 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:00 | ETA 0:45:36
[INFO] er_baseline.py:202 > Train | Sample # 18 | train_loss 0.6963 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:00 | ETA 0:41:55
[INFO] er_baseline.py:202 > Train | Sample # 20 | train_loss 0.7037 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:00 | ETA 0:38:56
[INFO] er_baseline.py:202 > Train | Sample # 22 | train_loss 0.6542 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:00 | ETA 0:36:34
[INFO] er_baseline.py:202 > Train | Sample # 24 | train_loss 0.6683 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:00 | ETA 0:34:39
[INFO] er_baseline.py:202 > Train | Sample # 26 | train_loss 0.6634 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:01 | ETA 0:34:14
